seqnames	start	end	width	strand	STRAND	PERCENTAJE	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
NC_000913.3	1963865	1963865	1	*	-	51.4563	Exon (flhA/b1879, exon 1 of 1)	1	1962972	1965050	2079	-	b1879	flhA	1185
NC_000913.3	2294641	2294641	1	*	-	47.2222	Exon (ccmF/b2196, exon 1 of 1)	1	2292961	2294904	1944	-	b2196	ccmF	263
NC_000913.3	2294871	2294871	1	*	-	44.0994	Exon (ccmF/b2196, exon 1 of 1)	1	2292961	2294904	1944	-	b2196	ccmF	33
NC_000913.3	2631319	2631319	1	*	-	56.8182	Exon (guaA/b2507, exon 1 of 1)	1	2630958	2632535	1578	-	b2507	guaA	1216
NC_000913.3	2632900	2632900	1	*	-	53	Promoter	1	2630958	2632535	1578	-	b2507	guaA	-365
NC_000913.3	2812124	2812124	1	*	+	42.7419	Promoter	1	2812616	2814154	1539	+	b2686	emrB	-492
NC_000913.3	2813710	2813710	1	*	+	52.8455	Exon (emrB/b2686, exon 1 of 1)	1	2812616	2814154	1539	+	b2686	emrB	1094
NC_000913.3	2881414	2881414	1	*	-	42.8571	Exon (casC/b2758, exon 1 of 1)	1	2881051	2882142	1092	-	b2758	casC	728
NC_000913.3	2881804	2881804	1	*	-	38.75	Exon (casC/b2758, exon 1 of 1)	1	2881051	2882142	1092	-	b2758	casC	338
NC_000913.3	3415897	3415897	1	*	+	41.8301	Exon (acrF/b3266, exon 1 of 1)	1	3415033	3418137	3105	+	b3266	acrF	864
NC_000913.3	3417527	3417527	1	*	+	51.1278	Exon (acrF/b3266, exon 1 of 1)	1	3415033	3418137	3105	+	b3266	acrF	2494
NC_000913.3	3596858	3596858	1	*	-	36.9748	Exon (livK/b3458, exon 1 of 1)	1	3596451	3597560	1110	-	b3458	livK	702
NC_000913.3	3597122	3597122	1	*	-	29.7521	Exon (livK/b3458, exon 1 of 1)	1	3596451	3597560	1110	-	b3458	livK	438
NC_000913.3	3662496	3662496	1	*	+	61.9469	Exon (mdtF/b3514, exon 1 of 1)	1	3660414	3663527	3114	+	b3514	mdtF	2082
NC_000913.3	3662700	3662700	1	*	+	45.1923	Exon (mdtF/b3514, exon 1 of 1)	1	3660414	3663527	3114	+	b3514	mdtF	2286
NC_000913.3	3994873	3994873	1	*	+	41.2109	Exon (dapF/b3809, exon 1 of 1)	1	3994762	3995586	825	+	b3809	dapF	111
NC_000913.3	3995404	3995404	1	*	+	40.4145	Exon (dapF/b3809, exon 1 of 1)	1	3994762	3995586	825	+	b3809	dapF	642
NC_000913.3	4028245	4028245	1	*	-	59.854	Exon (fadA/b3845, exon 1 of 1)	1	4027609	4028772	1164	-	b3845	fadA	527
NC_000913.3	4028988	4028988	1	*	-	43.7126	Promoter	1	4027609	4028772	1164	-	b3845	fadA	-216
NC_000913.3	4125793	4125793	1	*	-	36.6197	Exon (priA/b3935, exon 1 of 1)	1	4124612	4126810	2199	-	b3935	priA	1017
NC_000913.3	4126438	4126438	1	*	-	48.9796	Exon (priA/b3935, exon 1 of 1)	1	4124612	4126810	2199	-	b3935	priA	372
NC_000913.3	4126495	4126495	1	*	-	43.4109	Exon (priA/b3935, exon 1 of 1)	1	4124612	4126810	2199	-	b3935	priA	315
NC_000913.3	4130159	4130159	1	*	+	41.7647	Exon (metL/b3940, exon 1 of 1)	1	4129835	4132267	2433	+	b3940	metL	324
NC_000913.3	4132197	4132197	1	*	+	56.5056	Exon (metL/b3940, exon 1 of 1)	1	4129835	4132267	2433	+	b3940	metL	2362
NC_000913.3	4520971	4520971	1	*	-	39.8148	Promoter	1	4519338	4520324	987	-	b4295	yjhU	-647
NC_000913.3	4521156	4521156	1	*	-	50	Promoter	1	4519338	4520324	987	-	b4295	yjhU	-832
NC_000913.3	4520971	4520971	1	*	-	39.8148	Exon (yjhF/b4296, exon 1 of 1)	1	4520671	4522020	1350	-	b4296	yjhF	1049
NC_000913.3	4521156	4521156	1	*	-	50	Exon (yjhF/b4296, exon 1 of 1)	1	4520671	4522020	1350	-	b4296	yjhF	864
NC_000913.3	4629760	4629760	1	*	-	52.5253	Exon (ettA/b4391, exon 1 of 1)	1	4628855	4630522	1668	-	b4391	ettA	762
NC_000913.3	4630411	4630411	1	*	-	41.9811	Exon (ettA/b4391, exon 1 of 1)	1	4628855	4630522	1668	-	b4391	ettA	111
